"@id","Error Message","Solution"
"1","Cannot Recognize the Image","Graphical Solution"
"2","Cannot Find Solution","Graphical Solution"
"3","Cannot Recognize the Image","Value Based Solution"
"4","Cannot Find Solution","Value Based Solution"
"5","Cannot Find Solution","Graphical Solution"
"6","Cannot Recognize the Image","Value Based Solution"
"7","Cannot Find Solution","Graphical Solution"
"8","Cannot Recognize the Image","Graphical Solution"
"9","Cannot Find Solution","Value Based Solution"
"10","Cannot Find Solution","Value Based Solution"
